Origin,MonthOfYear,Cancelled,CancellationType
ORD,October,47,NAS
ORD,March,468,Carrier
ORD,September,134,Carrier
ORD,June,331,Carrier
ORD,November,71,Weather
ORD,August,235,Carrier
ORD,August,227,NAS
ORD,March,642,NAS
ORD,February,1303,Weather
ORD,July,198,Weather
ORD,July,396,Carrier
ORD,February,1231,NAS
ORD,May,337,NAS
ORD,January,609,Carrier
ORD,February,567,Carrier
ORD,December,1028,Weather
ORD,October,94,Carrier
ORD,September,224,NAS
ORD,July,264,NAS
ORD,May,129,Weather
ORD,April,184,Weather
ORD,November,146,NAS
ORD,December,289,Carrier
ORD,January,1341,NAS
ORD,June,450,Weather
ORD,August,278,Weather
ORD,September,194,Weather
ORD,October,12,Weather
ORD,December,629,NAS
ORD,March,533,Weather
ORD,November,117,Carrier
ORD,June,585,NAS
ORD,April,689,Carrier
ORD,January,516,Weather
ORD,May,232,Carrier
ORD,April,320,NAS
LGA,November,40,Weather
LGA,October,88,NAS
LGA,November,94,Carrier
LGA,March,181,NAS
LGA,July,143,Weather
LGA,October,114,Carrier
LGA,July,225,NAS
LGA,August,134,Carrier
LGA,June,217,Weather
LGA,July,211,Carrier
LGA,February,211,NAS
LGA,December,232,Weather
LGA,December,104,NAS
LGA,October,19,Weather
LGA,April,290,Carrier
LGA,September,93,Weather
LGA,August,137,Weather
LGA,April,66,Weather
LGA,January,149,NAS
LGA,January,198,Carrier
LGA,March,239,Carrier
LGA,April,129,NAS
LGA,June,273,NAS
LGA,May,68,Weather
LGA,August,228,NAS
LGA,January,240,Weather
LGA,June,188,Carrier
LGA,May,109,Carrier
LGA,May,128,NAS
LGA,September,100,Carrier
LGA,December,135,Carrier
LGA,March,185,Weather
LGA,February,393,Weather
LGA,February,181,Carrier
LGA,November,76,NAS
LGA,September,135,NAS
LAX,December,128,Weather
LAX,November,129,Carrier
LAX,October,100,Carrier
LAX,July,197,Carrier
LAX,September,60,Weather
LAX,September,6,NAS
LAX,April,246,Carrier
LAX,October,16,NAS
LAX,August,142,Carrier
LAX,January,62,NAS
LAX,July,17,NAS
LAX,November,12,NAS
LAX,February,28,NAS
LAX,June,23,Weather
LAX,June,19,NAS
LAX,June,158,Carrier
LAX,May,1,Security
LAX,October,45,Weather
LAX,May,8,NAS
LAX,May,159,Carrier
LAX,August,16,Weather
LAX,May,9,Weather
LAX,April,4,NAS
LAX,April,12,Weather
LAX,March,184,Carrier
LAX,March,72,Weather
LAX,September,99,Carrier
LAX,February,96,Weather
LAX,January,89,Weather
LAX,July,12,Weather
LAX,December,156,Carrier
LAX,January,257,Carrier
LAX,February,177,Carrier
LAX,August,5,NAS
LAX,November,53,Weather
LAX,March,29,NAS
LAX,December,12,NAS
JFK,November,20,Carrier
JFK,November,20,NAS
JFK,October,15,Carrier
JFK,October,31,Weather
JFK,August,90,NAS
JFK,August,384,Weather
JFK,October,15,NAS
JFK,February,44,NAS
JFK,September,31,NAS
JFK,May,31,Carrier
JFK,July,74,NAS
JFK,February,273,Weather
JFK,July,339,Weather
JFK,June,224,Weather
JFK,May,15,NAS
JFK,April,31,NAS
JFK,January,18,NAS
JFK,April,57,Weather
JFK,April,61,Carrier
JFK,September,131,Weather
JFK,March,131,Weather
JFK,June,58,NAS
JFK,September,18,Carrier
JFK,December,26,NAS
JFK,January,115,Carrier
JFK,July,121,Carrier
JFK,February,53,Carrier
JFK,March,78,Carrier
JFK,August,62,Carrier
JFK,November,70,Weather
JFK,March,38,NAS
JFK,December,266,Weather
JFK,May,30,Weather
JFK,January,115,Weather
JFK,December,58,Carrier
JFK,June,53,Carrier
IAH,December,219,Weather
IAH,November,11,Carrier
IAH,November,6,Weather
IAH,April,16,NAS
IAH,February,7,NAS
IAH,October,16,Carrier
IAH,September,22,Carrier
IAH,December,68,NAS
IAH,February,95,Weather
IAH,August,36,Carrier
IAH,August,28,NAS
IAH,March,26,NAS
IAH,July,23,NAS
IAH,July,42,Weather
IAH,June,117,Weather
IAH,March,75,Carrier
IAH,May,42,Weather
IAH,May,13,NAS
IAH,April,47,Carrier
IAH,June,19,NAS
IAH,October,9,NAS
IAH,March,338,Weather
IAH,May,28,Carrier
IAH,April,32,Weather
IAH,January,25,Carrier
IAH,September,33,NAS
IAH,January,93,Weather
IAH,July,45,Carrier
IAH,October,47,Weather
IAH,June,32,Carrier
IAH,January,12,NAS
IAH,December,36,Carrier
IAH,September,1273,Weather
IAH,August,301,Weather
IAH,February,29,Carrier
EWR,December,161,NAS
EWR,November,22,Carrier
EWR,November,9,Weather
EWR,July,97,Weather
EWR,October,39,NAS
EWR,September,75,NAS
EWR,October,12,Weather
EWR,August,68,Carrier
EWR,August,314,NAS
EWR,June,339,NAS
EWR,June,103,Weather
EWR,February,496,Weather
EWR,September,66,Weather
EWR,May,25,Weather
EWR,June,87,Carrier
EWR,July,194,NAS
EWR,April,92,Carrier
EWR,April,86,NAS
EWR,October,10,Carrier
EWR,July,78,Carrier
EWR,May,178,NAS
EWR,May,36,Carrier
EWR,March,225,NAS
EWR,January,66,Carrier
EWR,November,122,NAS
EWR,February,213,NAS
EWR,December,35,Carrier
EWR,March,160,Weather
EWR,March,142,Carrier
EWR,September,15,Carrier
EWR,December,423,Weather
EWR,August,75,Weather
EWR,January,178,Weather
EWR,January,170,NAS
EWR,April,19,Weather
EWR,February,81,Carrier
DFW,December,300,Weather
DFW,December,26,NAS
DFW,November,32,NAS
DFW,November,59,Weather
DFW,May,55,NAS
DFW,October,76,Carrier
DFW,October,16,NAS
DFW,August,64,NAS
DFW,September,187,Weather
DFW,September,113,Carrier
DFW,April,112,Weather
DFW,June,169,Carrier
DFW,April,1233,Carrier
DFW,August,255,Carrier
DFW,July,58,Weather
DFW,November,100,Carrier
DFW,July,34,NAS
DFW,February,339,Weather
DFW,June,304,Weather
DFW,June,50,NAS
DFW,May,221,Carrier
DFW,May,320,Weather
DFW,July,230,Carrier
DFW,October,11,Weather
DFW,April,30,NAS
DFW,March,2,Security
DFW,March,36,NAS
DFW,January,310,Weather
DFW,August,172,Weather
DFW,March,1290,Weather
DFW,February,40,NAS
DFW,March,340,Carrier
DFW,February,209,Carrier
DFW,September,14,NAS
DFW,December,142,Carrier
DFW,January,65,NAS
DFW,January,258,Carrier
BOS,November,21,Weather
BOS,November,45,NAS
BOS,October,55,Carrier
BOS,October,22,NAS
BOS,September,54,NAS
BOS,September,67,Carrier
BOS,March,63,NAS
BOS,October,8,Weather
BOS,August,83,Carrier
BOS,August,136,NAS
BOS,November,88,Carrier
BOS,July,123,Weather
BOS,July,211,Carrier
BOS,April,170,Carrier
BOS,June,132,NAS
BOS,July,105,NAS
BOS,June,113,Weather
BOS,April,39,NAS
BOS,May,85,Carrier
BOS,June,135,Carrier
BOS,February,69,NAS
BOS,May,26,Weather
BOS,April,36,Weather
BOS,August,120,Weather
BOS,December,313,Weather
BOS,March,147,Carrier
BOS,February,279,Weather
BOS,February,108,Carrier
BOS,March,74,Weather
BOS,December,107,Carrier
BOS,January,53,NAS
BOS,January,196,Weather
BOS,January,173,Carrier
BOS,May,54,NAS
BOS,December,101,NAS
BOS,September,44,Weather
ATL,October,64,Carrier
ATL,November,37,Weather
ATL,October,30,NAS
ATL,October,24,Weather
ATL,September,37,NAS
ATL,September,167,Weather
ATL,January,56,NAS
ATL,July,214,Weather
ATL,June,44,Weather
ATL,June,168,Carrier
ATL,April,59,NAS
ATL,May,14,Weather
ATL,August,172,Weather
ATL,February,89,NAS
ATL,April,36,Weather
ATL,April,197,Carrier
ATL,February,286,Weather
ATL,July,299,Carrier
ATL,May,1,Security
ATL,July,317,NAS
ATL,November,75,NAS
ATL,February,195,Carrier
ATL,March,351,Carrier
ATL,January,1001,Weather
ATL,May,31,NAS
ATL,March,233,Weather
ATL,May,70,Carrier
ATL,August,167,NAS
ATL,November,95,Carrier
ATL,December,195,NAS
ATL,January,179,Carrier
ATL,February,1,Security
ATL,March,139,NAS
ATL,June,79,NAS
ATL,August,169,Carrier
ATL,December,270,Weather
ATL,December,189,Carrier
ATL,September,80,Carrier
